Date,Weekly_Sales,Year,Month,Week,Rolling_Avg
2010-02-05,49750740.5,2010,2,5,
2010-02-12,48336677.63,2010,2,6,
2010-02-19,48276993.78,2010,2,7,
2010-02-26,43968571.13,2010,2,8,47583245.760000005
2010-03-05,46871470.3,2010,3,9,46863428.21
2010-03-12,45925396.51,2010,3,10,46260607.93
2010-03-19,44988974.64,2010,3,11,45438603.145
2010-03-26,44133961.05,2010,3,12,45479950.62499999
2010-04-02,50423831.26,2010,4,13,46368040.864999995
2010-04-09,47365290.44,2010,4,14,46728014.3475
2010-04-16,45183667.08,2010,4,15,46776687.457499996
2010-04-23,44734452.56,2010,4,16,46926810.335
2010-04-30,43705126.71,2010,4,17,45247134.1975
2010-05-07,48503243.52,2010,5,18,45531622.4675
2010-05-14,45330080.2,2010,5,19,45568225.7475
2010-05-21,45120108.06,2010,5,20,45664639.6225
2010-05-28,47757502.56,2010,5,21,46677733.58500001
2010-06-04,50188543.12,2010,6,22,47099058.485
2010-06-11,47826546.72,2010,6,23,47723175.115
2010-06-18,47622046.23,2010,6,24,48348659.6575
2010-06-25,46609036.29,2010,6,25,48061543.089999996
2010-07-02,48917484.5,2010,7,26,47743778.435
2010-07-09,47899529.37,2010,7,27,47762024.0975
2010-07-16,46243899.58,2010,7,28,47417487.434999995
2010-07-23,44888849.11,2010,7,29,46987440.64
2010-07-30,44630363.42,2010,7,30,45915660.37
2010-08-06,48204999.12,2010,8,31,45992027.807500005
2010-08-13,46464418.410000004,2010,8,32,46047157.515
2010-08-20,47060952.92,2010,8,33,46590183.4675
2010-08-27,45909740.44,2010,8,34,46910027.7225
2010-09-03,47194257.61,2010,9,35,46657342.345
2010-09-10,45634397.84,2010,9,36,46449837.2025
2010-09-17,43080726.51,2010,9,37,45454780.599999994
2010-09-24,41358514.41,2010,9,38,44316974.092499994
2010-10-01,42239875.87,2010,10,39,43078378.6575
2010-10-08,45102974.23,2010,10,40,42945522.754999995
2010-10-15,43149473.45,2010,10,41,42962709.49
2010-10-22,43066669.52,2010,10,42,43389748.2675
2010-10-29,43602830.95,2010,10,43,43730487.0375
2010-11-05,45781981.89,2010,11,44,43900238.9525
2010-11-12,46124800.83,2010,11,45,44644070.7975
2010-11-19,45125584.18,2010,11,46,45158799.462500006
2010-11-26,65821003.24,2010,11,47,50713342.535
2010-12-03,49909027.88,2010,12,48,51745104.032500006
